"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"ROHS";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"1";"ESP32-PICO-KIT";"ESP32-PICO-KIT";"XCVR_ESP32-PICO-KIT";"J1";"";"In Stock";"";"";"";"";"";" ESP32-PICO-D4 series Transceiver";" 802.11 b/g/n (Wi-Fi, WiFi, WLAN), Bluetooth® Smart Ready 4.x Dual Mode Evaluation Board ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Espressif Systems";"";"";"ESP32-PICO-KIT";"";"";"";"";"None";"";"";"";"None";"";"";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL";"FID1, FID2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"KB20C06A";"KB20C06A";"RELAY_KYOTO_KF0604D";"K1, K2";"";"";"";"";"";"";"";"Solid State Relay, Out AC 280VAC, In DC 32V";"";"";"";"";"";"";"";"";"";"";"";"";"";"KB20C06A";"Kyotto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"L101011MS02Q";"L101011MS02Q";"L101011MS02Q";"SW1";"";"";"";"";"";"";"";"Slide Switch, SPST, 4A, 28VDC";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"L101011MS02Q";"C&K";"";"";"";"";"";"";"";"";"SW 4A/28V";"";"";"";"1.66";"";"Mouser";"";"";"";"";"";
"1";"LD1117S33TR";"LD1117S33TR";"SOT223_LD1117S33TR";"IC6";"IC REG LINEAR 3.3V 800mA SOT223";"";"";"";"";"";"";"LDO,Fixed 15V 3.3V 1.3V @ 800mA SOT-223 ";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"LD1117S33TR";"STmicro, Diodes, TI,";"";"";"";"";"";"";"10";"";"xx1117x33xx";"";"";"";"0.07";"";"LCSC";"";"";"";"";"";
"1";"LM317AEMP";"LM317AEMP";"SOT223_LM317AEMP";"IC8";"Linear Voltage Regulator IC Positive Adjustable Output 1.5A SOT-223-4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"LT6106CS5#TRPBF";"LT6106CS5#TRPBF";"SOT-23-5";"IC3, IC4";"";"";"";"";"";"";"";"Current Sense Amplfier 36V, SOT23-5";"";"";"";"";"";"";"";"";"";"";"";"";"";"LT6106CS5#TRPBF";"Analog Devices";"";"";"";"";"";"";"";"";"LT6106CS5";"";"";"";"1.5";"";"Mouser";"";"";"";"";"";
"1";"MICROMATCH-16";"MICROMATCH-16";"MICROMATCH-16";"X13";"MicroMaTch 16  8-215464-6 / 1-215464-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"";"";"8-215464-6";"3784680";"26H3309";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MMBZ4696-HE3-18";"MMBZ4696-HE3-18";"SOT23-3";"D3";"Zener 9.1 Volt 0.225W 5%";"";"";"";"";"";"";"Zener Diodes 9.1 Volt 0.225W 5% AUTO";"";"";"";"";"";"";"";"";"";"";"";"";"";"MMBZ4696-HE3-18";"Vishay";"";"";"";"";"";"";"500";"";"9V 5%";"";"";"";"0.06";"";"Mouser";"";"";"";"";"";
"4";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";
